"Name","Make","Model","Serial Number","Category","Location","Collection","Condition","Heir","Purchased From","Purchase Date","Price","Value","Quantity","ISBN/EAN Number","Tags","Common Name","Size","Notes","Photo Labels and Filenames","Receipt Labels and Filenames","Warranty Issuer 1","Warranty Type 1","Warranty Term 1","Warranty Contact 1","Warranty Notes 1","Note 1"
"Acanthocystis Geogenius",,,,"(uncategorized)","(unspecified)","Lorenzen mushrooms","(unspecified)","(unassigned)",,1/26/13,"$913.99",,"1",,,,"4 1/4 h x 3 1/2 w",,"Acanthocystis Geogenius,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9B0280C1-5E5B-432B-933E-A8EEF744F8D5.jpg",,,,,,,
"Agaricus Campestris",,,,"(uncategorized)","(unspecified)","Lorenzen mushrooms","(unspecified)","(unassigned)",,2/22/15,"$510.00",,"1",,,"Field mushroom or meadow mushroom","3"" h x 3""w",,"Agaricus Campestris,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/968A6EE6-8B6C-4BCD-8E62-331A168FD272.jpg",,,,,,,
"Agaricus Silvicola",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"Wood Mushroom","6""h x 4""w",,"Agaricus Silvicola,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/3875D103-17B5-4519-814D-35D7EA7E0834.jpg",,,,,,,
"Albatrellus ovinus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/11/17,"$380.00",,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9CDBEE49-30AF-4678-A153-D989C312C3DC.jpg",,,,,,,
"Amanita Caesarea",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$1,700.00",,"1",,,"Caesar's Mushroom","7 1/2""h x 5""w",,"Amanita Caesarea,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FDFC4A62-9AE5-48AE-A85A-0B1FA7EF7DE9.jpg",,,,,,,
"Amanita Citrina",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"False Death Cap","6 1/2""h x 3 1/2""w",,"Amanita Citrina,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5FB78C7E-04D3-4FB6-99D7-7739F7D4A764.jpg",,,,,,,
"Amanita Excelsia",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"Grey Spotted Amanita","6 1/2""h x 5""w",,"Amanita Excelsia,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/1D617B9B-DEAD-402E-9977-908E70516DC5.jpg",,,,,,,
"Amanita Muscaria (small)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"Fly Agaric or Fly Amanita","4 1/2""h x 4 1/2""w",,"Amanita Muscaria,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/0ED8535F-9DF5-4FA1-92E6-426BDF9A9949.jpg",,,,,,,
"Amanita Muscaria (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"Fly Agaric or Fly Amanita","6 1/2""h x 4""w",,"Amanita Muscaria,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C17F69AC-E10E-4508-B0C1-0DAE06814311.jpg",,,,,,,
"Amanita Phalloides",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$220.00",,"1",,,"Death Cap","7""h x 6""w",,"Amanita Phalloides,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/CC815D06-8610-4EB2-95C6-8FB60F7F4B20.jpg",,,,,,,
"Amanita Porphyria",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$950.00",,"1",,,"Grey Veiled Amanita","7 1/2""h x 5""w",,"Amanita Porphyria,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/6DDDB82C-B26D-4467-A110-8C56A73CEBD1.jpg",,,,,,,
"Amanita Rubescens",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,9/28/14,"$1,026.99",,"1",,,"Blusher","7""h x 5 1/2""w",,"Amanita Rubescens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/E666BA9D-6494-4C44-83E6-E754E378AB0F.jpg",,,,,,,
"Amanita Virosa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,10/28/12,"$761.99",,"1",,,"European Destroying Angel","7""h x 5""w",,"Amanita Virosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8B08F8F1-3865-4185-88F6-CBBFFE443F50.jpg",,,,,,,
"Amanitopsis Fulva",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"Tawny Grisette","6""h x 4 1/2""w",,"Amanitopsis Fulva,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/EB86C4C4-7728-44B5-84D5-90BD30324911.jpg",,,,,,,
"Amanitopsis Plumbea",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"5 1/2""h x 4""w",,,"Amanitopsis Plumbea,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/3EFCD380-5B37-4A5D-A721-EF27E4B0F10B.jpg",,,,,,,
"Amanitopsis Umbrinolutea",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/7/15,"$1,412.00",,"1",,,,"6""h x 5 1/2""w",,"Amanitopsis Umbrinolutea,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/72875C7B-0493-456D-A982-42C6ECC43712.jpg",,,,,,,
"Amanitposis Vaginata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"Grisette","4 1/2""h x 3 1/2""w","Nelle Tuggle purchase","Amanitposis Vaginata,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/422D1EBC-5D89-4B9A-92C9-154C331690A1.jpg",,,,,,,
"Armarellia Russula",,,,"(uncategorized)","(unspecified)","Lorenzen mushrooms","(unspecified)","(unassigned)",,5/19/17,"$181.50",,"1",,,,"2 1/2"" tall x 3 1/2"" wide","Mushroom may not be properly identifed","Armarellia Russula,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A0E5A523-885C-4D7A-B3D5-35D7D623F57B.jpg,Armarellia Russula,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C766E38F-6113-4688-8CE6-500687E24B5D.jpg",,,,,,,
"Audubon Print","Havell First Edition 1836","Crested Grebe","Plate 242","Art","Dining Room","Art works - prints","Excellent","(unassigned)","Kenyon Oppenheimer Chicago, IL",2/6/83,,,"1",,"Audubon",,,,,,,,,,,
"Boletinus Paluster",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/7/13,"$350.00",,"1",,,"Red Bog Bolete","3""h x 3""w",,"Boletinus Paluster,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/110C3B1B-3D59-4D68-BB7A-8169D554BAA4.jpg",,,,,,,
"Boletus Aurantiacus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,7/25/12,"$897.99",,"1",,,"Red Capped Scaber Stalk","4""h x 3""w",,"Boletus Aurantiacus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C58970A5-C1B2-4FA3-8BB4-2577218B1877.jpg",,,,,,,
"Boletus bicolor",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/11/17,"$200.00",,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C811E5AC-2DEA-42F5-A583-E8F2C26FEE0E.jpg",,,,,,,
"Boletus Chromapes",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"Chrome Boletus or Chrome-Footed Boletus","4 1/2""h x 3 1/2""w",,"Boletus Chromapes,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/13C76555-27F3-4516-B2C6-C55DF1B410DE.jpg",,,,,,,
"Boletus Chrysenteron",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"Red Cracking Boletus","4 1/2""h x 6 1/2""w","Now known as Xerocumellus Chrysteron","Boletus Chrysenteron,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4F241C7E-F605-4747-BF06-F05DB7C66E13.jpg",,,,,,,
"Boletus Edulis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$340.00",,"1",,,"Porcino (Italian)","4""h x 4""w",,"Boletus Edulis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/59340683-8305-4887-9DD5-5ADBF377C26A.jpg",,,,,,,
"Boletus Placidus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$340.00",,"1",,,,"4""h x 3 1/2""w",,"Boletus Placidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C0BD6A9F-B296-42E3-9BDB-585330DBC0AF.jpg",,,,,,,
"Calocera viscosa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/16/13,"$258.00",,"1",,,"yellow stagshorn","3""h x 3""w",,"Calocera viscosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/18174EF4-6B72-420F-AE87-AA65C0B53D0D.jpg",,,,,,,
"Cantharellus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/31/17,"$171.00",,"1",,,"chanterelle or girolle","2 1/2""h x 2 1/4""w","part of seven mushroom group purchased on Ebay","Cantharellus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/543C0764-296A-4549-B5A1-6A17B14E97D6.jpg,,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/1A01C604-EC3D-428F-8C07-212CBCC59CBF.jpg,Cantharellus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/60631AC0-27AD-46C4-AE17-B6FDBF69D661.jpg,Cantharellus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/31AD9455-C296-45AD-B6E5-E506280B0B59.jpg",,,,,,,
"Cantharellus aurantiacus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,5/14/15,"$35.00",,"1",,,"false chanterelle","3""h x 3 1/2""w","Hygrophorus aurantiaca","Cantharellus aurantiacus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C9E8C32D-CBA2-4AC1-B4DC-D429C40144C6.jpg",,,,,,,
"Cantharellus cibarius",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"chanterelle, girolle","3""h x 4""w",,"Cantharellus cibarius,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/F00752FE-A886-4E4F-B9CF-FD765B1FC227.jpg",,,,,,,
"Cantharellus clavatus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"pig's ear, violet chanterelle","2 1/2""h x 3 1/2""w",,"Cantharellus clavatus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5D47492B-56CE-4E1C-834D-EBA92DE548EF.jpg",,,,,,,
"Cantharellus floccosus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/7/13,"$350.00",,"1",,,"shaggy-, scaly-, woolly chanterelle or wooly gomphus","2 1/2""h 3""w","Turbinellus floccosus","Cantharellus floccosus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/0CC68630-FE9B-45F3-B976-0365986FEEC6.jpg",,,,,,,
"Cantharellus nitidus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$320.00",,"1",,,,"2 3/4""h x 2 1/2""w",,"Cantharellus nitidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/7C944506-35C5-4587-918A-4CD1E0CD5449.jpg",,,,,,,
"Cantharellus tubaeformis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"winter chanterelle, yellow foot, trumpet chanterelle","2 1/2""h x 3""w","now  craterellus tubaeformis","Cantharellus tubaeformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/E0995D5C-16F6-4001-961F-523156C5D875.jpg",,,,,,,
"Cantharellus umbonata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"4 1/2""h x 3 1/2""w",,"Cantharellus umbonata,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A3357965-52AC-492F-95EC-810067AC0BCC.jpg",,,,,,,
"Canthatrcelus infundibuliformis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/12/15,"$19.50",,"1",,,"brown chanterelle","2 1/2""H x 3""w",,"Canthatrcelus infundibuliformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/98F9119D-BDAB-4E91-BA8B-8B04140A7A4E.jpg",,,,,,,
"Clavaria amenthystina",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,10/14/18,"$250.00",,"1",,,"Violet coral or magenta coral","2.5""","Clavulina amethystina is look-a-like species to Clavaria zollingeri","Clavaria amenthystina,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/39DF83AF-B526-4554-ACB3-1D0D8A5CD2BA.jpg",,,,,,,
"Clavaria fumosa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"smoky clavaria","7 1/2""h x 3""w",,"Clavaria fumosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8F57BA93-4D26-402F-A372-BE6C0991D2EF.jpg",,,,,,,
"Clavaria fusiformis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,"$171.00",,"1",,,"golden spindles","5 ""h x 2""w","Nelle Tuggle purchase","Clavaria fusiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9816F5AE-83C1-4DB5-869B-E51A64AAA181.jpg,Clavaria fusiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5582FF95-DB3D-4BE3-9AF0-068B8BBDD3E1.jpg,Clavaria fusiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9EB340EA-5930-44E9-B4FA-D2183D5AC659.jpg,Clavaria fusiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/20D386AF-8D28-453E-B614-5691BFA983B9.jpg",,,,,,,
"Clavaria ligula (medium)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"strap coral","3 1/2""h x 2""w","now clavariadelphus lingual","Clavaria ligula (medium),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C7CCB243-6D56-4587-9201-32DF25879627.jpg",,,,,,,
"Clavaria ligula (small)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"strap coral","2 1/2""h x 1 3/4""w","now Clavariadelphus ligula","Clavaria ligula (small),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/17EF58E2-923A-4F68-8485-73E8A2807289.jpg",,,,,,,
"Clavaria pistillaris",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"3 1/2""h x 2 1/4""w",,"Clavaria pistillaris,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/362719E7-BDD1-4F2E-B5A3-8C28E4BD35DA.jpg",,,,,,,
"Clavaria truncata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/14/15,"$257.00",,"1",,,"club coral","3 1/2""h x 2 1/2""w",,"Clavaria truncata,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4398CDD5-1DAA-4980-A153-4FBF69D2B70F.jpg",,,,,,,
"Clavaria vermicularis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"fairy fingers, white worm coral, white spindles","5 1/2""h x 2 1/2""w",,"Clavaria vermicularis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/628DC7BA-DE4F-44E8-AA7B-67E35ED0CEB8.jpg",,,,,,,
"Clitocybe clavipes",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"club-footed clitocybe","2 1/4""h x 2 1/4""w","Ampulloclitocybe clavipes","Clitocybe clavipes,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FADF0BEC-6890-400D-B5FD-C998341F9B0B.jpg",,,,,,,
"Clitocybe cyathiformis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,10/5/14,"$123.50",,"1",,,"goblet mushroom","4 1/2""h x 4""w",,"Clitocybe cyathiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/1CEB260D-7FBC-4D4F-909F-A0BE827534BE.jpg",,,,,,,
"Clitocybe illudens",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/15/17,"$335.25",,"1",,,"Jack-o-lantern mushroom","4 1/2"" tall x 4"" wide",,"Clitocybe illudens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A4702153-6D2F-444B-A65C-9F5CCE5BA7A6.jpg,Clitocybe illudens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/69462614-846F-47DE-91FB-C0A3BE65E6D9.jpg",,,,,,,
"Clitocybe infornata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,,,"Clitocybe infornata,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/EAB47148-35A4-43D2-A7F4-6D3358C83BBE.jpg",,,,,,,
"Clitocybe multiceps",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/1/14,"$809.99",,"1",,,,"3""h x 3""w",,"Clitocybe multiceps,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/6210526A-9AA6-4D51-95ED-2DCAF7D5A88B.jpg",,,,,,,
"Clitocybe odora",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"aniseed toadstool","3 1/4""h x 4 1/2""w",,"Clitocybe odora,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4E56A95B-E70C-40F3-A5BB-B5E1380E7A46.jpg",,,,,,,
"Clitopilus orcella",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/21/14,"$300.00",,"1",,,"sweetbread mushroom, the miller","3""h x 3 1/2""w",,"Clitopilus orcella,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/44F2102A-90D4-4997-9B9A-06352469BF40.jpg",,,,,,,
"Collybia velutipes",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FF6FD53E-468B-4C8F-8F18-A32CFEEFC7E7.jpg",,,,,,,
"Coprinus comatus (medium)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/21/12,"$165.50",,"1",,,"shaggy ink cap, lawyer's wig, shaggy mane","5""h x 3 1/2""w",,"Coprinus comatus (medium),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A5B8B9FB-00E1-4F32-A3E9-E64A57695892.jpg",,,,,,,
"Coprinus comatus (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$1,150.00",,"1",,,"shaggy ink cap, lawyer's wig, shaggy mane","6 1/4""h x 4""w",,"Coprinus comatus (tall),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4101EBBD-6F06-47ED-A679-8F50B5A9764B.jpg",,,,,,,
"Coprinus insignis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,,"4 1/2""h x 3""w",,"Coprinus insignis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/1578CEC7-BB5D-4713-9E76-2B240A8CAF52.jpg",,,,,,,
"Coprinus micaceus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"mica cap, shiny cap, glistening inky cap","3 1/2""h x 3""w","Nelle Tuggle purchase now known as coprinellus micaceus","Coprinus micaceus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2459863A-25D5-44B3-90AD-DEDF0852E57D.jpg",,,,,,,
"Coprinus quadrifidus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/21/12,"$165.50",,"1",,,"scaly ink cap, felt scale inky cap",,"Copirnopsis variegata","Coprinus quadrifidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/6C615F14-4046-46D7-A212-C4BF314B1B4D.jpg",,,,,,,
