"Name","Make","Model","Serial Number","Category","Location","Collection","Condition","Heir","Purchased From","Purchase Date","Price","Value","Quantity","ISBN/EAN Number","Tags","Common Name","Size","Notes","Photo Labels and Filenames","Receipt Labels and Filenames","Warranty Issuer 1","Warranty Type 1","Warranty Term 1","Warranty Contact 1","Warranty Notes 1","Note 1"
"Coprinus solibiformis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"3 1/2""h x 2 1/2""w","unknown mushroom","Coprinus solibiformis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9BD72E24-6482-4951-8C08-C2EE35D7DCAA.jpg",,,,,,,
"Cortinarius armillatus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"red-banded cortinarius","6""h x 5""w",,"Cortinarius armillatus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/7EC95316-C4FD-4C1B-963B-651DF4574AED.jpg",,,,,,,
"Cortinarius cinnamoneus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"Cinnamon webcap","3 1/2""h x 3""w",,"Cortinarius cinnamoneus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/564836A8-B2B3-4BFD-9D58-F2865D941318.jpg",,,,,,,
"Cortinarius traganus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,9/28/14,"$889.99",,"1",,,"gassy webcap","3""h x 3""w",,"Cortinari traganus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/080B500D-994E-44E2-B23D-65ABDD1F6567.jpg",,,,,,,
"Cortinarius violaceus (small)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"2 1/2""h x 3""w","probably immature","Cortinarius violaceus (small),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A85A0F45-4AC7-4986-AAD0-1D6C58074091.jpg",,,,,,,
"Cortinarius violaceus (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,,"4 1/2""h x 4""w","probably mature","Cortinarius violaceus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/6D6EFA66-4A90-4B50-86B9-461DE9FDB5B9.jpg",,,,,,,
"Craterellus cinerus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"ashen chanterelle",,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/ECE114C3-6FE6-4D35-B25D-D4405A3388D4.jpg",,,,,,,
"Craterellus cornucopioides",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$480.00",,"1",,,"horn of plenty","4""h x 4""w",,"Craterellus cornucopioides,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/71EA1E68-BE1A-4EF5-8DC6-BCEC35EAB26F.jpg",,,,,,,
"Craterellus flocossus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"shaggy-, scaly- or wooly chanterelle or wooly gomphus","4""h x 3""w",,"Craterellus flocossus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/B5883C82-53A0-4C60-8042-8BD530B1CA65.jpg",,,,,,,
"Craterellus flocossus (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,9/6/14,"$393.99",,"1",,,"shaggy-, scaly- or wooly chanterelle or wooly gomphus","6""h x 5 1/2""w",,"Craterellus flocossus (tall),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/72ED495D-3792-4DFB-856E-6999460F1A6B.jpg",,,,,,,
"Craterellus lutescens",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$300.00",,"1",,,"yellow foot","4""h x 4""w",,"Craterellus lutescens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2EDD6F8D-47E0-471E-9223-0C9542F634EA.jpg",,,,,,,
"Crucibulum vulgare",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"splash cups","1 1/2""h x 2 1/2""w",,"Crucibulum vulgare,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/CDD09298-42A6-4192-B398-0A97DBB43DAE.jpg",,,,,,,
"Cyathus striatus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/16/13,"$257.05",,"1",,,"fluted bird's nest","2""h x 2 1/2""w",,"Cyathus striatus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5F601DFE-7981-4E08-A247-4520C750FB56.jpg",,,,,,,
"Entoloma Grayanum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/31/17,"$171.00",,"1",,,,"2""h x 2 1/2""w","part of seven mushroom group purchased on Ebay","Entoloma Grayanum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8490C679-8C6E-4B59-BE60-1FC13C6D683F.jpg,Entoloma Grayanum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/DB27AB0F-058F-423D-B894-C776C18D8652.jpg,Entoloma Grayanum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C0EABABF-7C54-46DC-A5A6-13AC6AC2A4DD.jpg",,,,,,,
"Entoloma salmoneum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$440.00",,"1",,,"salmon unicorn entoloma","3 1/2""h x 3 1/2""w",,"Entoloma salmoneum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9C0C07AC-123F-423C-AF70-A883ADD9241F.jpg",,,,,,,
"Galera laterita",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"4""h x 2 1/2""w",,"Galera laterita,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/932F89FF-2625-4815-B705-297585992E63.jpg",,,,,,,
"Geaster saccatum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"rounded earthstar","1 3/4""h x 3""w",,"Geaster saccatum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9E6BBCCB-EEF5-4DD3-8287-268FCCE24FC6.jpg",,,,,,,
"Geoglossum glutinosum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"viscid black earth tongue, glutinous earthtongue","3""h x 2 1/2""w",,"Geoglossum glutinosum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/87A32113-7DF0-4EF6-985E-26AF70331E6D.jpg",,,,,,,
"Geoglossum virides",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,10/31/12,"$492.99",,"1",,,,"2""h x 2""w",,"Geoglossum virides,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/30E4D3AC-F177-46F0-826E-7DFD6D15A955.jpg",,,,,,,
"Geopyxiz craterium",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"2""h x 2 1/2""w","Ursula craterium","Geopyxiz craterium,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FE4BD3E2-C042-435F-82C2-05259702BEAA.jpg",,,,,,,
"Gomphidius Viscidus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/31/17,"$171.00",,"1",,,,"2 1/2""h x 2 1/4"" w","part of seven mushroom group purchased on Ebay","Gomphidius Viscidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/62D824B2-DCEF-4491-ADC6-315046D2930F.jpg,Gomphidius Viscidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8E4F78C2-E28B-4EEE-A149-F8CED1F43E11.jpg",,,,,,,
"Gomphus clavatum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"Pig's ear, violet chanterelle","3 1/2""h x 3""w",,"Gomphus clavatum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/141F1166-A426-408D-97A4-89E8272C7650.jpg",,,,,,,
"Gyromitre esculenta",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/26/13,"$332.00",,"1",,,,"4""h x 4""w",,"Gyromitre esculenta,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8584ED15-052D-4A41-B14A-9162EEB3865B.jpg",,,,,,,
"Helvella crispa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"white saddle, elfin saddle, common helvel","3'h x 2 3/4""w",,"Helvella crispa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/EBD746BF-8F54-45B4-8412-CDD07E1EDFB6.jpg,Helvella crispa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C55AB0C5-8F01-43E6-915B-223DC64F1CFF.jpg",,,,,,,
"Helvella crispa (medium)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$380.00",,"1",,,"white saddle, elfin saddle, common helvel","4 1/2""h x 4""w",,"Helvella crispa (medium),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/3C2E4E62-ED2F-46C9-A301-D62C354E8626.jpg",,,,,,,
"Helvella crispa (tall)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/21/14,"$550.00",,"1",,,"white saddle, elfin saddle, common helvel","5 1/2""h x 4""w",,"Helvella crispa (tall),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/BD5AE001-A251-4CB3-88F9-13AA223FB184.jpg",,,,,,,
"Helvella elastica",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"flexible helvella, elastic helvella","3 1/2""h x 3""w",,"Helvella elastica,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A0F55682-EF04-4554-B2CB-D5D3B8EBAAA3.jpg",,,,,,,
"Helvella lacunosa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$560.00",,"1",,,"slate grey saddle, fluted black elfin saddle","4 1/4""h x 4""w",,"Helvella lacunosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2B0140B5-684B-4BE8-9B16-37E2DC5FE6E9.jpg",,,,,,,
"Helvella sulcata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,8/7/12,"$191.38",,"1",,,,"3 1/2""h x 2 3/4""w",,"Helvella sulcata,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5EEA3A63-ABA1-482A-BE65-881C0B43A26D.jpg",,,,,,,
"Hydnum imbricatum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/13/13,"$376.07",,"1",,,,"4""h x 4""w","Sarcodon imbricatus","Hydnum imbricatum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C0FD64F2-38D4-43A1-BD9C-6F0AF850BDD1.jpg",,,,,,,
"Hygrophorus aureus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/8/14,"$385.00",,"1",,,,"4""h x 4 1/4""w",,"Hygrophorus aureus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FAE1AC67-BA9A-4ADF-9F5C-1E3D4EE741E0.jpg",,,,,,,
"Hygrophorus Chlorophanus",,,,"(uncategorized)","(unspecified)","Lorenzen mushrooms","(unspecified)","(unassigned)",,4/20/17,"$185.00",,"1",,,,"2 1/2"" tall x 2 3/4"" wide",,"Hygrophorus Chlorophanus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/B258BF5A-D090-497B-BD72-BF5579CC247B.jpg,Hygrophorus Chlorophanus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/50922B96-036C-441F-986F-C84E2157D51E.jpg",,,,,,,
"Hygrophorus conicus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/17/12,"$202.50",,"1",,,"witch's hat, conical wax cap, conical slimy cap","3 1/4""h x 2 1/2""w","Hygrocybe conica","Hygrophorus conicus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/A48E00B4-9F16-4B62-BDEA-D294EB6E173B.jpg",,,,,,,
"Hygrophorus miniatus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/1/14,,,"1",,,"vermillion waxcap","2 1/2'h x 2 1/2""w","Hygrocybe minata","Hygrophorus miniatus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/AA62F68B-D4FC-4252-9415-FCA85F4C7D06.jpg",,,,,,,
"Hygrophorus nitidus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"2 1/2""h x 2 3/4""w",,"Hygrophorus nitidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/26433D58-C10F-4019-B321-91B56030D284.jpg",,,,,,,
"Hygrophorus pratensis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/28/14,"$611.00",,"1",,,"meadow waxy cap, salmon waxy cap, butter meadow cap","2 1/4""h x 3""w","Cuphophyllus pratensis","Hygrophorus pratensis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/3967AAED-FDF6-4FA6-97E3-A132F0882249.jpg",,,,,,,
"Hygrophorus psittacinus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"parrot toadstool","2 1/4""h x 2 1/2""w","Gliophorus psittacinus","Hygrophorus psittacinus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/1A805A88-DE86-4DE6-BB2C-355F7CFB24ED.jpg",,,,,,,
"Hygrophorus puniceus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,4/22/16,"$354.00",,"1",,,"Crimson or Scarlet Waxy Cap","5 1/4""h x 3 1/4""w","Hygrocybe puniceus","Hygrophorus puniceus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/E5A23827-60E0-4BD9-8FD2-D88FCA326EF4.jpg,Hygrophorus puniceus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2933EBC5-AFEC-46A4-9E09-C641A6EFC5AA.jpg",,,,,,,
"Hyphloma fasciculare",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$1,150.00",,"1",,,"sulphur tuft, clustered wooodlover","4 1/2""h x 5""w",,"Hyphloma fasciculare,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/06F6D562-83F0-4CD7-AFF6-82F1E4E14EA5.jpg",,,,,,,
"Hyphloma perplexum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"perplexing hyphloma","5""h x 4""w",,"Hyphloma perplexum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/7E8AFA33-D4CB-48FC-B440-479B25B0E3D7.jpg",,,,,,,
"Hypholoma capnoides",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"2 1/4""h x 2 1/2""w",,"Hypholoma capnoides,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/0C945834-9666-41D9-BFD5-6F655EA92DBB.jpg,Hypholoma capnoides,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/199D16D1-2D34-4A80-84C5-183AFDF11000.jpg",,,,,,,
"Inocybe fastiagte",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"fiber caps","4 1/2""h x 4 1/4""w",,"Inocybe fastiagte,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C4ADDF26-3734-4C17-B987-D043C9C05086.jpg",,,,,,,
"Inocybe patouillardii",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"deadly fire cap, brick-red tear mushroom, red-staining inocybe","3""h x 3""w",,"Inocybe patouillardii,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/0E5E8CA3-D824-43C6-8EC1-2FEB326555A4.jpg",,,,,,,
"Inocybe rimosa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/21/16,"$309.00",,"1",,,"fiber cap","6 1/4""h x 5 3/4""w",,"Inocybe rimosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/E78C98A3-9AAC-4545-9CD8-8C5D521B1BF9.jpg,Inocybe rimosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/CB08D1CB-3884-4166-BF0E-BC9696196D32.jpg",,,,,,,
"Laccaria laccata",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,"$242.53",,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/384C4BEB-C808-4C49-AC69-E2145C97B9F6.jpg",,,,,,,
"Laccaria ochropurpurea",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/103B9EC1-692C-44C1-854D-D1069B02DD2A.jpg",,,,,,,
"Lactarius deliciosa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"saffron mile cap, red pine mushroom","3""h x 2 3/4""w",,"Lactarius deliciosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/ED5F5A94-FB20-4D3A-B119-7457E9F337BF.jpg",,,,,,,
"Lactarius indigo",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/11/17,"$300.00",,"1",,,"Indigo milk cap","2 1/4"" tall x 2 1/4"" wide",,"Lactarius indigo,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/BD84E72D-42F7-4D41-95EC-6F19C12E091C.jpg,Lactarius indigo,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/E272C3D1-39FB-4BCF-A8E8-2EB3E84782D1.jpg",,,,,,,
"Lactarius uvidus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$320.00",,"1",,,,"3 3/4""h x 4 1/4""w",,"Lactarius uvidus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/DB69AA35-2E11-4788-A70C-03542558C8CC.jpg",,,,,,,
"Lentinus cochleatus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,6/13/13,"$275.00",,"1",,,"aniseed cockleshell","2 1/2""h x 2 1/2""w","Lentinellus cochleatus","Lentinus cochleatus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8D7BF742-4663-4438-8C39-48D6B90EF93A.jpg",,,,,,,
"Leotia aurantipes",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,,"2 1/4""h x 2 1/2W","Leotia lubrica","Leotia aurantipes,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/757A78F3-9D61-4B4D-A238-3EA00CD73B7A.jpg",,,,,,,
"Leotia lubrica",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,2/9/13,"$721.99",,"1",,,"jelly belly","2 1/4""h x 3""w",,"Leotia lubrica,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/33B56ED9-3269-4B6A-889D-D8D11305D225.jpg",,,,,,,
"Lepiota americana",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/F12200BB-355D-49D6-AB42-B6B780EF2A07.jpg",,,,,,,
"Lepiota gracilenta (medium)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$700.00",,"1",,,,"5""h x 4""w",,"Lepiota gracilenta (medium),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5312A8E5-F85A-4EF6-9AD0-CFBC89538B3B.jpg",,,,,,,
"Lepiota gracilenta (small)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$400.00",,"1",,,,"3 3/4""h x 3 1/2""h",,"Lepiota gracilenta (small),/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/278C9EC1-87FA-41F7-9569-2E2C271BA401.jpg",,,,,,,
"Lepiota molybdites",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"false parasol, green-spored parasol","6 1/4""h x 4""w","Chlorophylum molybdites","Lepiota molybdites,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/35990116-1266-45A8-B5A3-8751E0462BDA.jpg",,,,,,,
"Lepiota procera",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$1,900.00",,"1",,,"parasol mushroom","10 1/4""h x 5""w","Macrolepiota procera","Lepiota procera,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/47170EB2-3774-4C46-B816-C1FF198A81C7.jpg",,,,,,,
"Lycoperdon gemmatum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$260.00",,"1",,,"common puffball, gem-studded puffball, warted puffball, devil's snuff-box","2'h x 2 3/4""w",,"Lycoperdon gemmatum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/375A902F-E545-47C8-9298-C9BFBA0967F7.jpg",,,,,,,
